file	phase	observation
api34/tracks.collection.unpin.large.png	Final	The fully scrolled Unpin from Whip Home label is readable; multiline text stays inside the button. The selected count may be above the viewport at 200%.
api37/tracks.collection.area-scope.ordinary.png	Final	The Main Area has zero selected Tracks and a readable count/scope explanation. Empty actions are disabled; the small enlarged body scrolls, so actions and rows need not share this frame.
api37/tracks.collection.area-scope.large.png	Final	The Main Area has zero selected Tracks and a readable count/scope explanation. Empty actions are disabled; the small enlarged body scrolls, so actions and rows need not share this frame.
api37/tracks.collection.visible-selection.ordinary.png	Final	Outdoors retains one selected Track with the correct Unpin action. At the smallest 200% viewport this summary frame does not show the whole action; the separate unpin frame covers it.
api37/tracks.collection.visible-selection.large.png	Final	Outdoors retains one selected Track with the correct Unpin action. At the smallest 200% viewport this summary frame does not show the whole action; the separate unpin frame covers it.
api37/tracks.collection.archive-scope.ordinary.png	Final	Returning to active Tracks has zero selection and disabled bulk actions. The full count is shown after scrolling; earlier header and later rows may be outside the viewport.
api37/tracks.collection.archive-scope.large.png	Final	Returning to active Tracks has zero selection and disabled bulk actions. The full count is shown after scrolling; earlier header and later rows may be outside the viewport.
api37/tracks.collection.restore.ordinary.png	Final	Restore is readable and reachable for the selected archived Track. On small enlarged layouts the summary is above the viewport; native recreation and exact history assertions supplement the frame.
api37/tracks.collection.restore.large.png	Final	Restore is readable and reachable for the selected archived Track. On small enlarged layouts the summary is above the viewport; native recreation and exact history assertions supplement the frame.
api37/tracks.collection.unpin.ordinary.png	Final	The fully scrolled Unpin from Whip Home label is readable; multiline text stays inside the button. The selected count may be above the viewport at 200%.
api37/tracks.collection.unpin.large.png	Final	The fully scrolled Unpin from Whip Home label is readable; multiline text stays inside the button. The selected count may be above the viewport at 200%.
before/tracks.collection.archive-scope.large.png	Baseline	One selected Track and enabled Unpin/Archive remain although visible rows are unchecked; the selection belongs to a different Area or Archived collection.
before/tracks.collection.archive-scope.ordinary.png	Baseline	One selected Track and enabled Unpin/Archive remain although visible rows are unchecked; the selection belongs to a different Area or Archived collection.
before/tracks.collection.area-scope.large.png	Baseline	One selected Track and enabled Unpin/Archive remain although visible rows are unchecked; the selection belongs to a different Area or Archived collection.
development/tracks.collection.area-scope.large.png	Capture refinement	Small enlarged scrolling panel; the first count line or final Unpin line is outside the capture. Final captures explicitly scroll to the count and separately to the full Unpin action. Product source is unchanged.
development/tracks.collection.archive-scope.large.png	Capture refinement	Small enlarged scrolling panel; the first count line or final Unpin line is outside the capture. Final captures explicitly scroll to the count and separately to the full Unpin action. Product source is unchanged.
development/tracks.collection.visible-selection.large.png	Capture refinement	Small enlarged scrolling panel; the first count line or final Unpin line is outside the capture. Final captures explicitly scroll to the count and separately to the full Unpin action. Product source is unchanged.
