artifact	surface	observation
final-api37	definition.ordinary	Authored Name and seven ordered type cards use bounded widths; lower cards remain reachable by scrolling.
final-api37	entry-validation.ordinary	Required summary and inline Name/Distance errors remain complete; concise context reduces separation from inputs.
final-api37	entry-validation.large	Required summary and inline Name/Distance errors remain complete; concise context reduces separation from inputs.
final-api37	entry-types.ordinary	Fractional Scale, full Notes, chosen Date and Yes state fit together; Entry Date keeps separate historical meaning.
final-api37	entry-types.large	Scale 3.5, complete two-line Notes, selected Date and Yes remain readable in bounded form; lower Entry Date support scrolls.
final-api37	entry-number.large	Invalid 1..5 and specific Distance error persist after recreation; unchanged Choice, Scale and Notes remain visible.
final-api37	entry-number.ordinary	Invalid 1..5 retained with specific error after recreation; unrelated values and Yes selection remain readable.
final-api37	entry-reopened.ordinary	Corrected Distance 2.25, stored Name, Trail and 3.5 visible; one concise Track context replaces repeated Entry headline.
final-api37	entry-reopened.large	Corrected Distance 2.25, stored Name, Trail and 3.5 visible; one concise Track context replaces repeated Entry headline.
final-api37	details-reopened.ordinary	Saved full Description, default Emoji, Main Area and both Tags reopen under Details/Organization in the same form.
final-api37	details-reopened.large	Saved description wraps completely after Fields; Emoji is reachable below and Tags are separately scrolled/asserted by journey.
final-api34	track-start.ordinary	Track Name, Entry Fields and Add Field now precede optional Details; responsive Save and core labels remain readable.
final-api34	track-start.large	Track Name, Entry Fields and Add Field now precede optional Details; responsive Save and core labels remain readable.
final-api34	entry-start.large	Two-line Track context and complete Name/Distance labels and inputs fit initially; Choice and Scale follow.
final-api34	track-name.ordinary	Track Name, floating label and counter remain fully above native keyboard; large single-line content scrolls horizontally.
final-api34	track-name.large	Track Name, floating label and counter remain fully above native keyboard; large single-line content scrolls horizontally.
final-api34	entry-name.large	Complete focused Name and floating label above keyboard; remaining Distance error is visible above concise Track context.
final-api34	entry-start.ordinary	Concise context leads to complete primary inputs; typed controls and Date follow with clear labels.
final-api34	entry-name.ordinary	Native IME, complete focused Name/label and fixed Add/exit visible; original image re-view confirms intact header.
final-api34	entry-validation.large	Required summary, Name/Distance fields and specific errors all remain readable at 200% text.
final-api34	entry-validation.ordinary	Required-field summary and inline Name/Distance messages are clear and specific.
final-api34	entry-reopened.ordinary	Reopened Name, corrected 2.25-mile Distance, Trail and 3.5 Scale preserved; concise Track context remains.
final-api34	entry-reopened.large	Reopened Name, corrected 2.25-mile Distance, Trail and 3.5 Scale preserved; concise Track context remains.
final-api34	details-reopened.ordinary	Full saved Description, Emoji, Main Area and outdoors/weekend Tags reopen below Fields.
final-api34	details-reopened.large	Description is fully wrapped and legible below Details; Tags remain a separate scroll/assertion in journey.
final-api26	track-start.ordinary	Name, first Field and Add Field fit in smallest ordinary opening; optional metadata follows below.
final-api26	track-start.large	Track Name appears much earlier; Entry Fields heading and start of first card now visible at 200%. Add Field remains scrollable.
final-api26	entry-start.ordinary	Compact Track context and complete Name/Distance controls fit with unit and Choice.
final-api26	entry-start.large	Complete initial Name and Distance inputs and labels fit at 200%; two-line Track context retains identity.
final-api26	track-name.ordinary	Whole focused Track Name/label/counter visible above native IME; existing single-line horizontal scrolling retained.
final-api26	track-name.large	Whole focused Track Name/label/counter visible above native IME; existing single-line horizontal scrolling retained.
final-api26	entry-name.ordinary	Whole Name/label fits above IME; scroll leaves trailing required-summary line above concise context.
final-api26	entry-name.large	Whole focused Name/label fits above IME; context is partly scrolled as expected in the short viewport.
final-api26	definition.ordinary	Name and first two authored Field cards fit with fixed Save and concise Fields guidance.
final-api26	definition.large	Scrolled Distance card has full name/type/reorder/edit; adjacent cards continue above/below viewport.
final-api26	entry-validation.ordinary	Required summary plus both invalid inputs fit; concise context avoids old repeated headline.
final-api26	entry-validation.large	Full required summary plus first invalid Name input now fit; remaining Distance is reachable by scrolling.
final-api26	entry-types.ordinary	Complete Notes and selected Visit date/Yes readable; distinct Entry Date remains below.
final-api26	entry-types.large	Selected Visit date and Yes/No wrap correctly; Notes extend above scrolled viewport, not lost.
final-api26	entry-number.ordinary	Recreated invalid 1..5, unit and specific validation remain visible; Trail is unchanged and Save remains fixed.
final-api26	entry-number.large	Recreated invalid 1..5, unit and specific validation remain visible; Trail is unchanged and Save remains fixed.
final-api26	entry-reopened.ordinary	Stored Name and corrected Distance 2.25 reopen with complete labels; concise context retains Track identity.
final-api26	entry-reopened.large	Stored Name and corrected Distance 2.25 reopen with complete labels; concise context retains Track identity.
final-api26	details-reopened.ordinary	Full saved Description and Emoji reopen below Fields; Tags verified after scrolling.
final-api26	details-reopened.large	Whole saved description wraps within five lines at 200%; fixed Save/exit remain available.
