surface_id	family	kind	state	source_keys	capture_selector	status	baseline_evidence	source_and_journey_review	visual_review	findings_and_changes	final_evidence
gym.library-builder.exercise-draft	gym	dialog	Native Gym exercise draft	route:gym-library-builder-exercise-draft	com.whip.app.GymLibraryJourneyE2ETest#exerciseAndCategoryEditsReorderAndArchivePreserveLinksAndHistory	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	The recreated Exercise editor retains its edited name and selected Category; Save stays reachable. The category-versus-Routine role explanation remains at assignment. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.exercise-reorder	gym	page	Native Gym exercise reorder	route:gym-library-builder-exercise-reorder	com.whip.app.GymLibraryJourneyE2ETest#exerciseAndCategoryEditsReorderAndArchivePreserveLinksAndHistory	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	Saved order places Standing cable press first. Reorder handles replace ordinary catalog actions and the mode exposes Done. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.category-list	gym	page	Native Gym category list	route:gym-library-builder-category-list	com.whip.app.GymLibraryJourneyE2ETest#exerciseAndCategoryEditsReorderAndArchivePreserveLinksAndHistory	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	Category names and direct Edit/Archive controls use the shared header; complete kind text appears below with shorter introductory copy. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.category-draft	gym	dialog	Native Gym category draft	route:gym-library-builder-category-draft	com.whip.app.GymLibraryJourneyE2ETest#exerciseAndCategoryEditsReorderAndArchivePreserveLinksAndHistory	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	The recreated Category dialog retains both edited name and kind with explicit Cancel and Save. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.category-reorder	gym	page	Native Gym category reorder	route:gym-library-builder-category-reorder	com.whip.app.GymLibraryJourneyE2ETest#exerciseAndCategoryEditsReorderAndArchivePreserveLinksAndHistory	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	Conditioning is first after the saved move. Reorder handles and Done remain visible; archived Categories stay outside the order. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.category-archived	gym	page	Native Gym category archived	route:gym-library-builder-category-archived	com.whip.app.GymLibraryJourneyE2ETest#exerciseAndCategoryEditsReorderAndArchivePreserveLinksAndHistory	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	Show Archived exposes the renamed Category with its complete kind and direct Restore action. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.machine-list	gym	page	Native Gym machine list	route:gym-library-builder-machine-list	com.whip.app.GymLibraryJourneyE2ETest#machineEditArchiveAndNewVersionKeepCompletedWorkoutSnapshots	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	The complete Machine name has consistent Edit/More controls. Linked Exercises, configuration version, scale, entry meaning and setup use full-width supporting lines. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.machine-draft	gym	dialog	Native Gym machine draft	route:gym-library-builder-machine-draft	com.whip.app.GymLibraryJourneyE2ETest#machineEditArchiveAndNewVersionKeepCompletedWorkoutSnapshots	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	The recreated Machine editor retains the edited name. Used resistance meaning remains locked with an explanation and an explicit new-version action. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.machine-archived	gym	menu	Native Gym machine archived	route:gym-library-builder-machine-archived	com.whip.app.GymLibraryJourneyE2ETest#machineEditArchiveAndNewVersionKeepCompletedWorkoutSnapshots	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	The archived Machine menu offers Restore and separates destructive permanent deletion; configuration-version creation is absent. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.machine-version-draft	gym	dialog	Native Gym machine version draft	route:gym-library-builder-machine-version-draft	com.whip.app.GymLibraryJourneyE2ETest#machineEditArchiveAndNewVersionKeepCompletedWorkoutSnapshots	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	The recreated new-version editor retains its name and resistance settings; the explanation preserves the old configuration's history. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
gym.library-builder.machine-versions	gym	page	Native Gym machine versions	route:gym-library-builder-machine-versions	com.whip.app.GymLibraryJourneyE2ETest#machineEditArchiveAndNewVersionKeepCompletedWorkoutSnapshots	Verified	db8bd65; E3rz30 catalog and yEXbKg complete editing/history baseline; chhFwk reproduces missing secondary linked Exercise.	GymScreens catalog projections/editors, WhipRecordItem, Gym catalog mutation ownership and repository version/link policies reviewed. Native editing/recreation/reorder/archive/restore/version journeys preserve exact links and completed history. This is bounded catalog acceptance; advanced forms and complete Routine/programming work remain separate.	Original v1 and newly saved v2 appear as separate records with the same linked Exercises and explicit scale/setup details. Final phone/wide originals personally reviewed; wider shell policy remains open.	FND-20260910-023/024; DEC/IMP-20260910-015. Shared record/search roles; domain ownership preserved.	VER-20260910-015; artifacts/astra-audit/2026-09-10/gym-library/README.md; 95 final-production API 34 regressions, twelve final focused methods on each API 34/37, 371 JVM readiness. Fixture-only deltas explicitly retained.
organization.lifecycle.picker-search-retained	organization	menu	Area picker retains entered query when matching option is removed	route:area-lifecycle-picker-search-retained	com.whip.app.ui.AreaFeatureUiTest#areaPickerKeepsActiveSearchWhenItsOptionsShrink	Verified	cafa61e; native And05H reproduces hidden query; pre-color wide original reproduces ignored color input. Unchanged native lifecycle checkpoints retained.	AreaSelectionDropdown and WhipSearchField reviewed. Controlled mutable options shrink from nine to eight, retain entered query, clear through the actual action and select Area 1. Component transition evidence does not accept every production picker host.	The controlled picker retains its active query and Clear Search after nine options become eight. Final phone and wide original PNG/XML pairs personally reviewed.	FND-20260910-021/022; DEC/IMP-20260910-014. Shared search and truthful saved-color roles; domain transactions retained.	VER-20260910-014; artifacts/astra-audit/2026-09-10/area-lifecycle/README.md; 86 final-production API 34 regressions, eight final focused methods on each API 34/37, 371 JVM readiness; fixture-only delta explicitly retained.
organization.lifecycle.picker-search-cleared	organization	menu	Clear Search exposes remaining eight Area choices	route:area-lifecycle-picker-search-cleared	com.whip.app.ui.AreaFeatureUiTest#areaPickerKeepsActiveSearchWhenItsOptionsShrink	Verified	cafa61e; native And05H reproduces hidden query; pre-color wide original reproduces ignored color input. Unchanged native lifecycle checkpoints retained.	AreaSelectionDropdown and WhipSearchField reviewed. Controlled mutable options shrink from nine to eight, retain entered query, clear through the actual action and select Area 1. Component transition evidence does not accept every production picker host.	Clearing the query reveals the eight remaining choices and supports selecting the first. Final phone and wide original PNG/XML pairs personally reviewed.	FND-20260910-021/022; DEC/IMP-20260910-014. Shared search and truthful saved-color roles; domain transactions retained.	VER-20260910-014; artifacts/astra-audit/2026-09-10/area-lifecycle/README.md; 86 final-production API 34 regressions, eight final focused methods on each API 34/37, 371 JVM readiness; fixture-only delta explicitly retained.
organization.lifecycle.last-required	organization	dialog	Native Area last required	route:area-lifecycle-last-required	com.whip.app.AreaOrganizationJourneyE2ETest#createColorOrderAndArchivedIdentitySurviveRecreation	Verified	cafa61e; native And05H reproduces hidden query; pre-color wide original reproduces ignored color input. Unchanged native lifecycle checkpoints retained.	AreaManagementDialog, AreaPicker, WhipSearchField, SettingsViewModel and Area repository/deletion policies reviewed. Real creation/recovery/move/merge/both cleanup paths and Activity recreation preserve or deliberately delete exact assigned domain history; saved scopes reconcile. See native method for this state. Broader aesthetic and global picker acceptance remains open.	Deleting the only active Area explains the requirement and offers Create Area or Cancel. Final phone and wide original PNG/XML pairs personally reviewed.	FND-20260910-021/022; DEC/IMP-20260910-014. Shared search and truthful saved-color roles; domain transactions retained.	VER-20260910-014; artifacts/astra-audit/2026-09-10/area-lifecycle/README.md; 86 final-production API 34 regressions, eight final focused methods on each API 34/37, 371 JVM readiness; fixture-only delta explicitly retained.
organization.lifecycle.create-draft	organization	dialog	Native Area create draft	route:area-lifecycle-create-draft	com.whip.app.AreaOrganizationJourneyE2ETest#createColorOrderAndArchivedIdentitySurviveRecreation	Verified	cafa61e; native And05H reproduces hidden query; pre-color wide original reproduces ignored color input. Unchanged native lifecycle checkpoints retained.	AreaManagementDialog, AreaPicker, WhipSearchField, SettingsViewModel and Area repository/deletion policies reviewed. Real creation/recovery/move/merge/both cleanup paths and Activity recreation preserve or deliberately delete exact assigned domain history; saved scopes reconcile. See native method for this state. Broader aesthetic and global picker acceptance remains open.	The recreated new Area retains its entered name and Blue color with explicit Create and Cancel. Final phone and wide original PNG/XML pairs personally reviewed.	FND-20260910-021/022; DEC/IMP-20260910-014. Shared search and truthful saved-color roles; domain transactions retained.	VER-20260910-014; artifacts/astra-audit/2026-09-10/area-lifecycle/README.md; 86 final-production API 34 regressions, eight final focused methods on each API 34/37, 371 JVM readiness; fixture-only delta explicitly retained.
organization.lifecycle.reordered	organization	page	Native Area reordered	route:area-lifecycle-reordered	com.whip.app.AreaOrganizationJourneyE2ETest#createColorOrderAndArchivedIdentitySurviveRecreation	Verified	cafa61e; native And05H reproduces hidden query; pre-color wide original reproduces ignored color input. Unchanged native lifecycle checkpoints retained.	AreaManagementDialog, AreaPicker, WhipSearchField, SettingsViewModel and Area repository/deletion policies reviewed. Real creation/recovery/move/merge/both cleanup paths and Activity recreation preserve or deliberately delete exact assigned domain history; saved scopes reconcile. See native method for this state. Broader aesthetic and global picker acceptance remains open.	The saved Area order and accessible move action agree; reorder mode retains Done and the archived-order boundary. Final phone and wide original PNG/XML pairs personally reviewed.	FND-20260910-021/022; DEC/IMP-20260910-014. Shared search and truthful saved-color roles; domain transactions retained.	VER-20260910-014; artifacts/astra-audit/2026-09-10/area-lifecycle/README.md; 86 final-production API 34 regressions, eight final focused methods on each API 34/37, 371 JVM readiness; fixture-only delta explicitly retained.
organization.lifecycle.color-draft	organization	dialog	Native Area color draft	route:area-lifecycle-color-draft	com.whip.app.AreaOrganizationJourneyE2ETest#createColorOrderAndArchivedIdentitySurviveRecreation	Verified	cafa61e; native And05H reproduces hidden query; pre-color wide original reproduces ignored color input. Unchanged native lifecycle checkpoints retained.	AreaManagementDialog, AreaPicker, WhipSearchField, SettingsViewModel and Area repository/deletion policies reviewed. Real creation/recovery/move/merge/both cleanup paths and Activity recreation preserve or deliberately delete exact assigned domain history; saved scopes reconcile. See native method for this state. Broader aesthetic and global picker acceptance remains open.	The recreated color dialog retains selected Violet and exact hex preview with explicit Apply. Final phone and wide original PNG/XML pairs personally reviewed.	FND-20260910-021/022; DEC/IMP-20260910-014. Shared search and truthful saved-color roles; domain transactions retained.	VER-20260910-014; artifacts/astra-audit/2026-09-10/area-lifecycle/README.md; 86 final-production API 34 regressions, eight final focused methods on each API 34/37, 371 JVM readiness; fixture-only delta explicitly retained.
organization.lifecycle.archive-review	organization	dialog	Native Area archive review	route:area-lifecycle-archive-review	com.whip.app.AreaOrganizationJourneyE2ETest#createColorOrderAndArchivedIdentitySurviveRecreation	Verified	cafa61e; native And05H reproduces hidden query; pre-color wide original reproduces ignored color input. Unchanged native lifecycle checkpoints retained.	AreaManagementDialog, AreaPicker, WhipSearchField, SettingsViewModel and Area repository/deletion policies reviewed. Real creation/recovery/move/merge/both cleanup paths and Activity recreation preserve or deliberately delete exact assigned domain history; saved scopes reconcile. See native method for this state. Broader aesthetic and global picker acceptance remains open.	The empty Area archive confirmation names the Area and explains that it will be hidden from Area pickers, with Cancel and Archive. Final phone and wide original PNG/XML pairs personally reviewed.	FND-20260910-021/022; DEC/IMP-20260910-014. Shared search and truthful saved-color roles; domain transactions retained.	VER-20260910-014; artifacts/astra-audit/2026-09-10/area-lifecycle/README.md; 86 final-production API 34 regressions, eight final focused methods on each API 34/37, 371 JVM readiness; fixture-only delta explicitly retained.
organization.lifecycle.archived-detail	organization	page	Native Area archived detail	route:area-lifecycle-archived-detail	com.whip.app.AreaOrganizationJourneyE2ETest#createColorOrderAndArchivedIdentitySurviveRecreation	Verified	cafa61e; native And05H reproduces hidden query; pre-color wide original reproduces ignored color input. Unchanged native lifecycle checkpoints retained.	AreaManagementDialog, AreaPicker, WhipSearchField, SettingsViewModel and Area repository/deletion policies reviewed. Real creation/recovery/move/merge/both cleanup paths and Activity recreation preserve or deliberately delete exact assigned domain history; saved scopes reconcile. See native method for this state. Broader aesthetic and global picker acceptance remains open.	The recreated archived Area offers Restore Area and retains its identity and saved color. Final phone and wide original PNG/XML pairs personally reviewed.	FND-20260910-021/022; DEC/IMP-20260910-014. Shared search and truthful saved-color roles; domain transactions retained.	VER-20260910-014; artifacts/astra-audit/2026-09-10/area-lifecycle/README.md; 86 final-production API 34 regressions, eight final focused methods on each API 34/37, 371 JVM readiness; fixture-only delta explicitly retained.
organization.lifecycle.archived-list	organization	page	Native Area archived list	route:area-lifecycle-archived-list	com.whip.app.AreaOrganizationJourneyE2ETest#createColorOrderAndArchivedIdentitySurviveRecreation	Verified	cafa61e; native And05H reproduces hidden query; pre-color wide original reproduces ignored color input. Unchanged native lifecycle checkpoints retained.	AreaManagementDialog, AreaPicker, WhipSearchField, SettingsViewModel and Area repository/deletion policies reviewed. Real creation/recovery/move/merge/both cleanup paths and Activity recreation preserve or deliberately delete exact assigned domain history; saved scopes reconcile. See native method for this state. Broader aesthetic and global picker acceptance remains open.	Expanded archived content reveals the same Area with its Restore action and current count. Final phone and wide original PNG/XML pairs personally reviewed.	FND-20260910-021/022; DEC/IMP-20260910-014. Shared search and truthful saved-color roles; domain transactions retained.	VER-20260910-014; artifacts/astra-audit/2026-09-10/area-lifecycle/README.md; 86 final-production API 34 regressions, eight final focused methods on each API 34/37, 371 JVM readiness; fixture-only delta explicitly retained.
