capability	input_or_trigger	user_visible_output	persisted_or_dependent_consequence	recovery_or_failure_contract	strongest_evidence_tier	executable_evidence	adaptive_accessibility_evidence	remaining_gap	disposition
habit-skip-history-health	skip/fail/backdate/edit; Health reconciliation	neutral skip/history/insight and provider provenance	measurement and neutral occurrence identities remain distinct	undo skip; provider deletion mirrored; permission denial safe	real-app E2E	HabitSkipJourneyE2ETest#skipIsOneVisibleNeutralStateWithHistoryInsightsAndUndo; HealthReconciliationTest#providerEditsAndDeletionsReconcileInsideTheExactWindow	AdaptiveWhipScreenTest#compactHabitEditorRemainsReachableAtTwoHundredPercentText	live Health Connect picker requires device account/provider	manual/platform-owned picker only
habit-goal-track-order	reorder browse/checklist; scope constraints	shared Reorder mode or authored grip	positions normalize without crossing pinned/hidden rows	cancel; no partial collection reorder	repository integration	HabitRepositoryTest#reorderNormalizesOmittedArchivedHabitsWithoutDuplicatePositions; GoalRepositoryTest#reorderNormalizesOmittedCompletedGoalsWithoutDuplicatePositions; TrackRepositoryTest#reorderNormalizesOmittedArchivedTracksWithoutDuplicatePositions	InteractionControlUiTest#reorderHandleHasOneConsistentTouchAndAccessibilityContract	full-app Habit reorder gesture not duplicated after representative Task journey	accepted shared primitive plus repository
goal-create-measure	all Goal types; value/status contribution; milestone	clear progress, range/status, history and insight	finite measurements/contributions recalculate exact Goal state	invalid values blocked; edit/delete/reset recalculates	real-app E2E	ProductivityCreationJourneyE2ETest#taskHabitAndGoalCanBeCreatedAndUsedThroughTheRealUi; GoalRepositoryTest#goalTypeOwnsCalculationDirectionAndDeadlinePace	AdaptiveWhipScreenTest#compactGoalEditorRemainsReachableAtTwoHundredPercentText; WhipAccessibilityChecksTest#productivityEditorsAndDetailsPassAccessibilityChecks	each Goal type is domain-tested rather than nine duplicate UI journeys	accepted split
tracks-definition-entry	create typed fields/choices; add/edit Entry	field-appropriate input, detail and activity row	schema, value identity, entered units and analytics persist	validation/duplicate warning; dirty discard; atomic schema edit	real-app E2E	FirstClassWorkflowE2ETest#trackCanBeDefinedPopulatedAndReopenedThroughTheRealUi; TrackRepositoryTest#fractionalScaleRoundTripsThroughStorageCsvAnalyticsAndSchemaEdits	AdaptiveWhipScreenTest#expandingContentPreservesSelectedTrackAndProvidesAHomeRoute; InteractionControlUiTest#trackScaleEntryUsesTheConfiguredFractionalIncrementAndCanBeCleared	very large Entry paging performance is macro/regression lane	covered with performance split
tracks-import-export-history	CSV preview/import/export; paged Entry history	preview and exact result	identity-safe remap and Entry history persist	malformed CSV is rejected without partial commit	repository integration	TrackRepositoryTest#crudSearchCsvAndDestructiveChoiceConfirmationPreserveIdentity; TrackRepositoryTest#largeTrackHistoryIsReadThroughStableBoundedRepositoryPages	TrackWorkspaceUiTest#tracksWorkspaceRemainsNavigableInRtlAtTwoHundredPercentText	real DocumentsUI successful file selection is platform smoke	manual/platform-owned document completion
gym-active-workout	start/resume/finish/discard; add/substitute/group exercise	active session, grouped exercise cards, clear set composer	workout/session/source routine and group contiguity persist	failed save remains editable; substitution replaces original; resume clears end	real-app E2E	FirstClassWorkflowE2ETest#workoutCanBeCreatedLoggedFinishedAndFoundInHistoryThroughTheRealUi; EditorStateRecreationTest#dirtyInlineSetSurvivesActivityRecreation; GymRepositoryTest#substitutingAfterCompletedSetStillReplacesPlacementAndSnapshotsNewMachine	GymPowerInputUiTest#activeWorkoutUsesOneFocusedComposerWithExerciseAndSetReordering; WhipAccessibilityChecksTest#primaryAreasPassComposeAccessibilityTestFramework	true OS process kill cannot run inside the target instrumentation process	covered representative lifecycle; cold-process release smoke remains manual
gym-set-rest-timer	quick set/edit/classification/RPE/RIR; complete; timer	validated set plus restrained visual completion and timer	canonical units, snapshots, record effects and timer state persist	invalid/pristine inputs; undo delete; timer cancel/change	real-app E2E	FirstClassWorkflowE2ETest#workoutCanBeCreatedLoggedFinishedAndFoundInHistoryThroughTheRealUi; GymRepositoryTest#activeSessionAndTimerDeadlineAreStoredData	GymPowerInputUiTest#pristineQuickSetDefersRequiredErrorsUntilCompletionAttempt; GymPowerInputUiTest#quickSetEntryPresentsInputsBeforeItsPrimarySaveAction	OS timer notification delivery separated into notification lane	covered split
gym-exercise-machine-category	create/edit/archive/delete; machine multi-exercise setup and level direction	library rows and accurate equipment labels	relationships, configuration versions, archived history and direction persist	active-use delete blocked; preserved-history impact explained	repository integration	GymRepositoryTest#machineCanBeCreatedUnattachedThenLinkedToMultipleExercises; GymPowerInputUiTest#machineDraftSurvivesCreatingAndLinkingAnExerciseAndSavesReverseLevels	GymPowerInputUiTest#machineDeleteDialogExplainsPreservedHistoryAndBlocksActiveUse	full-app create journey representative rather than every equipment subtype	accepted split
gym-routines-prescriptions	build days/groups/placements/sets; nested exercise/machine creation	authored routine builder and exact workout copy	nested order, equipment binding and prescriptions persist	failed save retains draft; archived equipment recovery	repository integration	RoutineBuilderUiTest#savedRepSchemeCanBeAppliedEditedAndDeleted; RoutineRepositoryTest#duplicatePlacementsAndRepRangesSurviveTemplateAndWorkoutCreation	AdaptiveWhipScreenTest#responsiveFieldPairsStackAtTwoHundredPercentText	one full app start-from-routine consequence should be added when cold-process harness lands	staged medium risk
gym-history	filter/search/open/resume/duplicate/delete/history edit	bounded sustainable filters and coherent workout detail	historical snapshots and edits preserve source identity	delete preview; resume/duplicate separation; source navigation	component journey	FirstClassWorkflowE2ETest#workoutCanBeCreatedLoggedFinishedAndFoundInHistoryThroughTheRealUi; GymRepositoryTest#discardedWorkoutCanBeRestoredWithItsHistory	GymPowerInputUiTest#workoutHistoryCardUsesOneStableActionPerExerciseAndMovesSecondaryActionsToMenu	large history filter performance covered below	accepted split
gym-progress-records	choose tracked exercises/metrics; graph/table; source workout	configured current records, formula disclosure, data table, exact source	tracked choices/order and record calculations persist	unsupported record types removed; empty states explain setup	component journey	WhipComposeSemanticsTest#gymConfigurationControlsUseProgressiveDisclosure; CoreFeatureJourneyE2ETest#seededFeaturesRenderThroughRealRepositoriesAndSurviveActivityRecreation; GymAnalyticsTest#machineGraphsNeverMergeDifferentPhysicalMachines	WhipAccessibilityChecksTest#primaryAreasPassComposeAccessibilityTestFramework	none in app-owned graph-to-history routing	covered exact source-workout journey
gym-tools	1RM/percentage/plate inputs; presets; units	formula-labelled results and attainable plate load	presets/default unit settings persist	invalid/non-finite/extreme input returns clear error	domain/unit	GymCalculationsTest#epleyAndBrzyckiMatchDocumentedFormulas; GymAnalyticsTest#plateSolverRespectsFiniteInventoryAndReturnsClosestLoad	AdaptiveWhipScreenTest#responsiveFieldPairsStackAtTwoHundredPercentText	calculator does not require duplicate real-app persistence journey	accepted low risk
areas-taxonomy	create/rename/color/reorder/move/merge/archive/delete	stable Area manager and exact impact text	all domain references move atomically; active order persists	last Area protected; stale merge/delete rejected; undo archive	repository integration	AreaFeatureUiTest#pickerSelectsExistingAreaAndCreatesInline; MeasurementTaxonomyRepositoryTest#permanentAreaDeleteMovesEveryAssignedItemToAnotherArea	AreaFeatureUiTest#areaWorkspaceKeepsExitTrailingAndBackLeadingAtTwoHundredPercentText	full-app drag uses shared gesture plus Area repository evidence	accepted split
settings-cause-effect	theme/layout/Home/units/Gym/notifications/health/data toggles	control state and affected downstream surface	all user settings survive repository recreation and backup where promised	disabled reason/recovery; permission denial; reset confirmation	component journey	SettingsBehaviorUiTest#compactItemLayoutCanBeEnabledFromAppearance; SettingsBehaviorUiTest#hidingGoalsKeepsItDiscoverableInTheEmptyHomeGuide; SettingsBehaviorUiTest#everySettingsCategoryIsReachableAndOwnsItsExpectedControls; AppSettingsPersistenceTest#everyUserEditablePreferenceSurvivesRepositoryRecreation	InteractionControlUiTest#explicitDirectDestinationsRemainStableAtLargeTextInRtl	not every low-impact preference duplicates its repository contract in a full-app journey	covered representative downstream consequences plus exhaustive persistence
backup-restore-reset	plain/encrypted/portable backup; merge/replace/reset	preview, compatibility, exact completion or error	transactional all-domain restore with recovery marker	wrong password/tamper/interruption/stale URI no partial replacement	repository integration	BackupRepositoryTest#backupPreviewAndTransactionalRestoreRoundTrip; EncryptedBackupCodecTest#wrongPassphraseAndTamperingAreRejected; RestoreRecoveryManagerTest#failedRollbackLeavesMarkerAndNextLaunchRecoversOldState	SettingsBehaviorUiTest#plainJsonBackupUsesAndroidsDocumentProviderAndReturnsSafelyOnCancel	live provider write/read completion remains manual platform lane	accepted platform split
notifications-deep-links	permission/channel state; reminder action; warm/cold intent	notification/shade and exact destination/action	idempotency receipt and scheduled work update	denied journey establishes its own precondition; failed receipt retry; notification cleanup avoids killing the instrumentation host	real-app E2E	NotificationDeepLinkE2ETest#identicalNewIntentRoutesAgainWithoutRecompositionReplay; NotificationActionLedgerTest#failedMutationCanReleaseReceiptAndRetry; ZPlatformNotificationSurfaceE2ETest#settingsTestNotificationIsPostedAndVisibleInAndroidsNotificationShade	SettingsBehaviorUiTest#everySettingsCategoryIsReachableAndOwnsItsExpectedControls	OEM battery/channel UI wording remains manual	accepted platform-owned
widgets-share-shortcuts	configure Area widget; widget action; SEND text; launcher shortcut	exact config/editor route and Android result	widget scope/pending draft persist; deletion cleans references	cancel/unsupported MIME safe	real-app E2E	PlatformEntrySurfaceE2ETest#widgetConfigurationPersistsTheChosenAreaAndReturnsSuccess; PlatformEntrySurfaceE2ETest#sharedPlainTextOpensAPrefilledTaskAndCancelDoesNotPersistIt	PlatformEntrySurfaceE2ETest#widgetTaskActionSelectsAndPersistsItsAreaAcrossRecreation	launcher-host visuals remain manual	accepted platform-owned
database-canonical-epoch	fresh install; markerless pre-epoch data; interrupted reset	fresh install opens directly; existing local data receives an explicit two-step fresh-start choice	only schema 42 and backup epoch 2/version 19 can enter the live runtime	malformed/old markers fail closed; reset resumes idempotently; schema 41 cannot open directly	repository integration	DataEpochBoundaryTest#trulyFreshInstallEstablishesCurrentMarkerWithoutReset; DataEpochBoundaryTest#markerStatePersistsAndInterruptedResetResumes; DataEpochBoundaryTest#schemaFortyOneCannotBeOpenedDirectlyAsCanonicalSchemaFortyTwo	StartupRecoveryScreenTest#freshStartRequiresTwoExplicitDestructiveActions	physical upgrade confirmation remains a manual release lane	accepted breaking epoch with automated fail-closed coverage
loading-error-retry	repository loading/error; injected operation failure	shared loading/error/retry, no false success	no partial side effect; retry reaches intended result	failure remains actionable and non-destructive	component journey	AdaptiveWhipScreenTest#sharedLoadingErrorRetryIsActionableAndNeverShowsFalseSuccess; RestoreRecoveryManagerTest#failedRollbackLeavesMarkerAndNextLaunchRecoversOldState; TaskRepositoryTest#bulkMetadataRollsBackEveryTaskWhenAnyTargetIsMissing	WhipAccessibilityChecksTest#primaryAreasPassComposeAccessibilityTestFramework	every repository family does not duplicate the shared failure presentation journey	covered shared UI plus representative atomic failures
adaptive-ime-accessibility	compact/expanded/book/tabletop; IME; 200% text; RTL; keyboard/TalkBack	stable navigation/rail, reachable controls, no clipped primary action	draft/selection survives configuration where promised	Back/escape/focus and non-gesture reorder alternatives	real-app E2E	ImeNavigationRailE2ETest#openingTheImeDoesNotMovePersistentNavigationOnAWideLayout; AdaptiveWhipScreenTest#bookFoldUsesHingeAwareSupportPaneAndPersistentNavigation; VisualAcceptanceMatrixTest#primaryAdaptiveThemeFontAndRtlMatrixHasAnOpaqueConformingSurface	WhipAccessibilityChecksTest#primaryAreasPassComposeAccessibilityTestFramework; InteractionControlUiTest#repeatedAccessibilityMovesKeepAnnouncementWithTheLogicalItem	OEM keyboard animation timing remains platform-specific	covered live IME geometry plus adaptive and alternate-input contracts
performance-stability	cold start; 10k search/history; scroll; resize/background	bounded response with no ANR/crash/jank	no data loss across lifecycle	performance regression fails explicit budget	manual/platform-owned	LargeHistoryRegressionTest#tenYearsOfHabitGoalAndWorkoutHistoryRemainDeterministic; TrackRepositoryTest#largeTrackHistoryIsReadThroughStableBoundedRepositoryPages; manual:macrobenchmark-runtime-lane	manual:adaptive-benchmark-runtime-lane	search still needs query-backed paging and explicit 10k latency assertion	open staged architecture
