capability	happy_path	alternate_failure	persistence_recreation	accessibility_adaptive
gym-exercises-machines-records	CoreFeatureJourneyE2ETest#seededFeaturesRenderThroughRealRepositoriesAndSurviveActivityRecreation	GymPowerInputUiTest#machineDeleteDialogExplainsPreservedHistoryAndBlocksActiveUse	GymRepositoryTest#historicalSetEditingUsesPlacementTrackingAndEnteredUnitSnapshots	WhipAccessibilityChecksTest#primaryAreasPassComposeAccessibilityTestFramework
gym-routines-prescriptions	RoutineBuilderUiTest#savedRepSchemeCanBeAppliedEditedAndDeleted,RoutineBuilderUiTest#emptyLibraryCreatesUniqueStandardLiftsAndBuildsExactFourDayProgram,RoutineBuilderUiTest#customFiveThreeOneBuildsBenchDeadliftAndZercherWithoutRequiringFourStandardLifts,RoutineBuilderUiTest#addingExerciseToExistingRoutineSavesWithoutLeavingTheEditedDay,RoutineBuilderUiTest#multiDayRoutineRoutesFiveThreeOneConversionThroughWholeProgramReview	RoutineBuilderUiTest#failedRoutineSaveKeepsTheCompleteDraftOpenForRetry,RoutineRepositoryTest#invalidSetPolicyPlacementAndDeterministicSchemeMismatchAreRejected	RoutineRepositoryTest#duplicatePlacementsAndRepRangesSurviveTemplateAndWorkoutCreation,RoutineRepositoryTest#activeSetPoliciesResolveLeaderAnchorAndDeloadSnapshotsWithoutLyingAboutJokers,RoutineRepositoryTest#removingOrSubstitutingOneOfSeveralMainLiftsInvalidatesOnlyThatSessionTrainingMaxAdvance	AdaptiveWhipScreenTest#responsiveFieldPairsStackAtTwoHundredPercentText
areas-scope-taxonomy-moves	AreaFeatureUiTest#pickerSelectsExistingAreaAndCreatesInline	AreaFeatureUiTest#deletingTheOnlyAreaPromptsForAReplacementFirst	MeasurementTaxonomyRepositoryTest#permanentAreaDeleteMovesEveryAssignedItemToAnotherArea	AreaFeatureUiTest#areaWorkspaceKeepsExitTrailingAndBackLeadingAtTwoHundredPercentText
search-exact-routing-review	GlobalSearchRoutingTest#everyNonTaskSearchDomainLandsOnTheExactActiveOrArchivedRecord	WhipNavigationTest#everyFirstClassDestinationIsReachableThroughVisibleNavigation	BackupRepositoryTest#areaIdentityAndScopeRoundTripAcrossEveryProductivityDomain	AdaptiveWhipScreenTest#reviewUsesTheWholeWideCanvasAsAHingeAwareDashboard
settings-cause-effect	SettingsBehaviorUiTest#everySettingsCategoryIsReachableAndOwnsItsExpectedControls	SettingsBehaviorUiTest#finalVisibleHomeSectionExplainsWhyItCannotBeDisabled	AppSettingsPersistenceTest#everyUserEditablePreferenceSurvivesRepositoryRecreation	InteractionControlUiTest#explicitDirectDestinationsRemainStableAtLargeTextInRtl
identity-emojis-units-colors	InteractionControlUiTest#emojiPickerSearchesCommonChoicesAndPersistsReusableCustomEmoji	SettingsBehaviorUiTest#organizationSettingsAddsRenamesAndRemovesNamedCustomEmojis	IdentityEmojiMigrationTest#migrationThreeToFourNormalizesStoredIdentityWithoutReplacingRows	InteractionControlUiTest#sharedControlsExposeConsistentStateRolesAndTouchTargets
notifications-actions-deeplinks	NotificationDeepLinkE2ETest#identicalNewIntentRoutesAgainWithoutRecompositionReplay	NotificationActionLedgerTest#failedMutationCanReleaseReceiptAndRetry	NotificationActionLedgerTest#abandonedInFlightReceiptBecomesRetryableAfterTimeout	ZPlatformNotificationSurfaceE2ETest#settingsTestNotificationIsPostedAndVisibleInAndroidsNotificationShade
backup-restore-encryption-portable-folder	BackupRepositoryTest#backupPreviewAndTransactionalRestoreRoundTrip	EncryptedBackupCodecTest#wrongPassphraseAndTamperingAreRejected	PortableBackupManagerTest#selectedFolderSettingsAndVerifiedBackupSurviveManagerRecreation	SettingsBehaviorUiTest#plainJsonBackupUsesAndroidsDocumentProviderAndReturnsSafelyOnCancel
deletion-cascade-recovery	TaskDeletionUiTest#permanentDeleteRequiresExplicitSecondConfirmation	DomainDeletionCoordinatorTest#machineDeleteRejectsAStaleImpactPreview	RestoreRecoveryManagerTest#failedRollbackLeavesMarkerAndNextLaunchRecoversOldState	TaskDeletionUiTest#genericPermanentDeleteDialogDoesNothingWhenCancelled
database-migration-forward-compatibility	PersistentStorageE2ETest#coreRecordsRemainAfterDatabaseIsClosedAndReopened	WhipDatabaseMigrationTest#migrationOneToNinePreservesTasksLinksContributionsTriggersAndOccurrences	WhipDatabaseMigrationTest#migrationTwoToNinePreservesTrackIdentityFieldsEntriesAndFractionalValues	manual:release-upgrade-smoke
fold-tablet-compact-layout	AdaptiveWhipScreenTest#bookFoldUsesHingeAwareSupportPaneAndPersistentNavigation	AdaptiveWhipScreenTest#tabletopFoldKeepsNavigationAndOverviewAboveTheHinge	EditorStateRecreationTest#primaryEntityEditorsRequireExplicitDiscardOnBack	VisualAcceptanceMatrixTest#primaryAdaptiveThemeFontAndRtlMatrixHasAnOpaqueConformingSurface
accessibility-locale-large-text-rtl	WhipAccessibilityChecksTest#primaryAreasPassComposeAccessibilityTestFramework	InteractionControlUiTest#explicitDirectDestinationsRemainStableAtLargeTextInRtl	EditorStateRecreationTest#dirtyTaskEditorSurvivesActivityRecreation	AdaptiveWhipScreenTest#expandedLayoutRetainsNavigationAndPaneInRtl
widget-area-scope	PlatformEntrySurfaceE2ETest#widgetConfigurationPersistsTheChosenAreaAndReturnsSuccess	WhipWidgetAreaScopeTest#eachWidgetKeepsAnIndependentAreaScopeAndDeletionCleansItUp	PlatformEntrySurfaceE2ETest#widgetTaskActionSelectsAndPersistsItsAreaAcrossRecreation	PlatformEntrySurfaceE2ETest#widgetConfigurationPersistsTheChosenAreaAndReturnsSuccess
health-connect-reconciliation	SettingsHealthControlUiTest#pausedHealthSyncKeepsSavedCategorySelectedAndEditable	HealthReconciliationTest#providerEditsAndDeletionsReconcileInsideTheExactWindow	HealthReconciliationTest#invalidSecondCategoryRollsBackTheFirstCategoryToo	PlatformEntrySurfaceE2ETest#healthPermissionRationaleStatesTheReadOnlyLocalDataPolicyAndCloses,manual:health-connect-system-picker-smoke
