image	review	assessment	observation
final-api37/tracks.history.restored.ordinary.png	Original personally inspected	Verified	Active Entry actions and Add Entry are present, with readable record titles/dates after restoration. Persistent rail and collection/detail columns retain their existing composition. Archived collection is empty while the restored Track stays selected and its overview counts update.
final-api37/tracks.history.restored.large.png	Original personally inspected	Verified	Active first title/date and Add Entry remain readable. The native catalog now retains labels on partially visible Entry actions. Persistent rail and collection/detail columns retain their existing composition. Archived collection is empty while the restored Track stays selected and its overview counts update.
final-api37/tracks.history.inspector.ordinary.png	Original personally inspected	Verified	Read-only identity, Track/date context and recorded facts are legible in the bounded inspector. Persistent rail and collection/detail columns retain their existing composition.
final-api37/tracks.history.inspector.large.png	Original personally inspected	Verified	Enlarged record identity, supporting context and recorded facts are legible; dialog remains read-only. Persistent rail and collection/detail columns retain their existing composition.
before-actions-api34/tracks.history.restored.large.png	Original personally inspected	Confirmed	Full first active record/date and actions are clear. Native diagnostic XML identifies two unlabeled clickable button strips on the partial bottom row; pixels alone do not establish their accessible names.
before-api26/tracks.history.archived.ordinary.png	Original personally inspected	Baseline	Global bars leave two complete initial records; identity, local destinations and Restore remain clear.
before-api26/tracks.history.archived.large.png	Original personally inspected	Confirmed	At actual 200% text the fixed bars leave only a sliver of the first title; no initial complete record/date.
final-api26/tracks.history.archived.ordinary.png	Original personally inspected	Verified	Focused detail exposes several full records immediately; Back, identity, Edit, destinations and contextual Restore remain clear.
final-api26/tracks.history.archived.large.png	Original personally inspected	Verified	Complete first two-line title and date are visible before scrolling. Long identity ellipsizes; local destinations scroll horizontally.
final-api26/tracks.history.records.ordinary.png	Original personally inspected	Verified	Older titles and dates form separate readable rows beneath the retained local navigation.
final-api26/tracks.history.records.large.png	Original personally inspected	Verified	Entry 12 has a complete title/date; partial neighboring rows reflect the list scroll position.
final-api26/tracks.history.search.ordinary.png	Original personally inspected	Verified	Whole native query and floating label sit above the keyboard with Back and local identity retained.
final-api26/tracks.history.search.large.png	Original personally inspected	Verified	Whole enlarged query and label are visible above the keyboard; result reading requires scrolling or keyboard dismissal.
final-api26/tracks.history.search-result.ordinary.png	Original personally inspected	Verified	Dismissed keyboard leaves retained query plus complete matching title/date and archived status/Restore.
final-api26/tracks.history.search-result.large.png	Original personally inspected	Verified	Query, full two-line matching title and date fit together; archived status is partially above the list viewport at this scroll position.
final-api26/tracks.history.inspector.ordinary.png	Original personally inspected	Verified	Read-only title, Track/date context and recorded evidence are legible. API 26 lacks the boot emoji glyph.
final-api26/tracks.history.inspector.large.png	Original personally inspected	Verified	Enlarged record identity and recorded date are readable; lower evidence requires scroll and long supporting context ellipsizes. Emoji limitation remains.
final-api26/tracks.history.restored.ordinary.png	Original personally inspected	Verified	Focused header retains Back/Edit and adds Add Entry; active records retain Edit/menu and date. Action columns narrow title wrapping.
final-api26/tracks.history.restored.large.png	Original personally inspected	Verified	Add Entry and active record actions remain visible with full dates. Long primary titles break inside words beside the action columns; retain for broader Entry-row design review.
