image	status	personal_observation	limits
api37/tracks.csv-recovery.replacement-cancelled.ordinary.png	Verified	Returning from the native picker retains the same invalid-row error and disabled Import. The centered bounded dialog preserves the wide workspace context.	The matching preceding invalid frame is intentional; native Back and zero writes are asserted by the journey. The frame is one position in a scrolling body.
api37/tracks.csv-recovery.replacement-ready.ordinary.png	Verified	Corrected replacement shows River loop and its interpreted Entry date/value with Import 2 Entries enabled. The centered bounded dialog preserves the wide workspace context.	The nonstandard unit header is mapped later in the test; only values in the current scroll viewport are visually accepted. The frame is one position in a scrolling body.
api37/tracks.csv-recovery.invalid.large.png	Verified	Validation counts identify one invalid row; the red error names Row 2 and Distance. Import is visibly disabled. The centered bounded dialog preserves the wide workspace context.	The first invalid row blocks the whole batch; this frame alone does not prove persistence. Body content scrolls beyond these fixed boundaries.
api37/tracks.csv-recovery.replacement-cancelled.large.png	Verified	Returning from the native picker retains the same invalid-row error and disabled Import. The centered bounded dialog preserves the wide workspace context.	The matching preceding invalid frame is intentional; native Back and zero writes are asserted by the journey. Body content scrolls beyond these fixed boundaries.
api37/tracks.csv-recovery.replacement-ready.large.png	Verified	Corrected replacement shows River loop and its interpreted Entry date/value with Import 2 Entries enabled. The centered bounded dialog preserves the wide workspace context.	The nonstandard unit header is mapped later in the test; only values in the current scroll viewport are visually accepted. Body content scrolls beyond these fixed boundaries.
process-api34/ready-second.png	Verified	Second Entry is selected; Hill circuit, Sep 2 and 2.00 km are readable before process death.	Lower Field values lie beyond this viewport; full parsing is covered by the native test.
process-api34/recovered-unchanged.png	Verified	The recovered review still selects Entry 2 and shows Hill circuit with 2.00 km.	The large-text driver's scroll position differs after recovery; selected Entry and values are preserved, not pixel identity.
process-api34/changed-file-blocked.png	Verified	The changed-file error appears first, explains fresh review and shows Replace File; Import is disabled.	This covers changed bytes from the tested local provider, not every provider failure.
process-api34/replacement-reviewed.png	Verified	Fresh review visibly shows Changed river loop and enables Import 2 Entries.	Other values require scrolling; this screenshot establishes the changed primary value.
process-api34/import-complete.png	Verified	Import Complete and the two-Entry result are immediately readable with Done available.	Actual write count and complete typed values are established separately by database/test checks.
process-api34/completed-without-source.png	Verified	The initial recovered receipt says the import had already finished and nothing was duplicated; Done remains available.	This is completed-receipt recovery with a removed source, not pre-commit missing-file recovery.
process-api34-large/ready-second.png	Verified	Second Entry is selected; Hill circuit, Sep 2 and 2.00 km are readable before process death.	Lower Field values lie beyond this viewport; full parsing is covered by the native test.
process-api34-large/recovered-unchanged.png	Verified	The recovered review still selects Entry 2 and shows Hill circuit with 2.00 km.	The large-text driver's scroll position differs after recovery; selected Entry and values are preserved, not pixel identity.
process-api34-large/changed-file-blocked.png	Verified	The changed-file error appears first, explains fresh review and shows Replace File; Import is disabled.	This covers changed bytes from the tested local provider, not every provider failure.
process-api34-large/replacement-reviewed.png	Verified	Fresh review visibly shows Changed river loop and enables Import 2 Entries.	Other values require scrolling; this screenshot establishes the changed primary value.
process-api34-large/import-complete.png	Verified	Import Complete and the two-Entry result are immediately readable with Done available.	Actual write count and complete typed values are established separately by database/test checks.
process-api34-large/completed-without-source.png	Verified	The initial recovered receipt says the import had already finished and nothing was duplicated; Done remains available.	This is completed-receipt recovery with a removed source, not pre-commit missing-file recovery.
