image	scope	review	observation
api37/tracks.definition-review.changed-history.ordinary.png	Final	Personally inspected	Complete changed-impact failure and retained-draft guidance are visible; Save remains clear and lower form content scrolls.
api37/tracks.definition-review.duplicate-fields.large.png	Final	Personally inspected	Complete duplicate-name validation notice is visible below Edit Track/Save; lower form content scrolls.
api37/tracks.definition-review.duplicate-fields.ordinary.png	Final	Personally inspected	Complete duplicate-name validation notice is visible below Edit Track/Save; lower form content scrolls.
api37/tracks.definition-review.missing-identity.large.png	Final	Personally inspected	Complete missing Entry Identity validation notice is visible below Edit Track/Save; lower form content scrolls.
api37/tracks.definition-review.missing-identity.ordinary.png	Final	Personally inspected	Complete missing Entry Identity validation notice is visible below Edit Track/Save; lower form content scrolls.
api37/tracks.definition-review.normalized.large.png	Final	Personally inspected	Current Paved street value is shown in the reopened Field; fixed Cancel and Save Field remain clear. Other fields continue outside the vertical viewport.
api37/tracks.definition-review.normalized.ordinary.png	Final	Personally inspected	Current Paved street value is shown in the reopened Field; fixed Cancel and Save Field remain clear. Other fields continue outside the vertical viewport.
api37/tracks.definition-review.remove-field.large.png	Final	Personally inspected	Complete draft-removal count and exact-review explanation are readable above fixed Cancel/Remove Field actions.
api37/tracks.definition-review.remove-field.ordinary.png	Final	Personally inspected	Complete draft-removal count and exact-review explanation are readable above fixed Cancel/Remove Field actions.
api37/tracks.definition-review.replace-choice.large.png	Final	Personally inspected	Exact impact and Move Values to Trail are readable with fixed Keep Editing/Apply Reviewed Changes; short review uses bounded natural height.
api37/tracks.definition-review.replace-choice.ordinary.png	Final	Personally inspected	Exact impact and Move Values to Trail are readable with fixed Keep Editing/Apply Reviewed Changes; short review uses bounded natural height.
api37-warning-diagnostic.png	Fixture diagnostic	Personally inspected	Complete warning is visually readable; paragraph constraint width exceeds the Text width without clipping the rendered line. Final fixture checks actual line edges.
initial-api34/tracks.definition-review.replace-choice.ordinary.png	Before adaptive refinement	Personally inspected	Ordinary exact review is readable but fills nearly the available height, leaving a large unused gap between selection and footer.
initial-api37/tracks.definition-review.replace-choice.ordinary.png	Before adaptive refinement	Personally inspected	Ordinary exact review is readable but fills nearly the available height, leaving a large unused gap between selection and footer.
normalization-baseline.png	Baseline failure	Personally inspected	Raw spaced Track draft remains open with enabled Save and no error after expected timeout.
parent-validation-baseline.png	Baseline failure	Personally inspected	Viewport remains at Details/Organization after invalid Save; no visible parent validation explanation.
parent-validation-corrected.png	Fixture diagnostic	Personally inspected	Complete parent notice is visible; the failed exact selector omitted its leading bullet.
stale-field-baseline.png	Baseline failure	Personally inspected	Reopened Field contains raw multiple spaces in Paved street despite previously successful canonical database assertions.
